date,avg_temp,daylight_hours,bad_weather,hours_overcast
2009-01-01,20,919,0,0
2009-01-02,28,920,1,20
2009-01-03,34,921,0,0
2009-01-04,34,922,0,8
2009-01-05,40,923,0,13
2009-01-06,34,924,1,17
2009-01-07,34,924,1,41
2009-01-08,34,925,0,8
2009-01-09,29,926,0,4
2009-01-10,26,927,1,39
2009-01-11,28,929,1,28
2009-01-12,27,931,0,1
2009-01-13,34,932,0,2
2009-01-14,26,933,0,10
2009-01-15,18,935,1,32
2009-01-16,12,936,0,1
2009-01-17,14,938,0,9
2009-01-18,28,939,1,43
2009-01-19,30,941,1,39
2009-01-20,24,943,0,0
2009-01-21,22,985,0,3
2009-01-22,28,986,0,3
2009-01-23,39,988,0,0
2009-01-24,32,990,0,0
2009-01-25,20,993,0,7
2009-01-26,24,994,0,4
2009-01-27,27,996,0,18
2009-01-28,32,998,1,65
2009-01-29,31,1001,0,0
2009-01-30,30,1003,1,11
2009-01-31,24,1005,0,2
2009-02-01,39,1007,0,3
2009-02-02,44,1009,0,11
2009-02-03,30,1012,1,56
2009-02-04,24,1014,0,6
2009-02-05,18,1016,0,0
2009-02-06,24,1018,0,10
2009-02-07,39,1021,0,8
2009-02-08,48,1063,0,2
2009-02-09,39,1065,0,0
2009-02-10,42,1067,0,7
2009-02-11,55,1071,1,8
2009-02-12,50,1073,1,20
2009-02-13,38,1075,0,8
2009-02-14,34,1077,0,14
2009-02-15,35,1080,0,2
2009-02-16,34,1083,0,0
2009-02-17,32,1085,0,0
2009-02-18,38,1088,1,26
2009-02-19,38,1090,1,13
2009-02-20,28,1092,0,7
2009-02-21,34,1096,0,0
2009-02-22,38,1098,1,20
2009-02-23,29,1101,0,0
2009-02-24,30,1103,0,1
2009-02-25,33,1106,0,1
2009-02-26,42,1108,0,8
2009-02-27,52,1112,1,10
2009-02-28,42,1114,0,2
2009-03-01,32,1117,1,38
2009-03-02,22,1119,1,56
2009-03-03,19,1122,0,3
2009-03-04,26,1124,0,0
2009-03-05,36,1127,0,0
2009-03-06,46,1130,0,10
2009-03-07,60,1133,1,0
2009-03-08,56,1136,1,10
2009-03-09,44,1138,1,38
2009-03-10,42,1141,1,25
2009-03-11,50,1143,1,25
2009-03-12,38,1146,0,0
2009-03-13,34,1189,0,5
2009-03-14,42,1191,0,2
2009-03-15,46,1194,1,22
2009-03-16,44,1197,0,6
2009-03-17,46,1200,0,8
2009-03-18,52,1203,0,0
2009-03-19,48,1206,1,20
2009-03-20,40,1208,1,30
2009-03-21,40,1251,0,0
2009-03-22,44,1254,0,5
2009-03-23,36,1256,0,0
2009-03-24,38,1259,0,0
2009-03-25,44,1262,0,0
2009-03-26,44,1264,1,42
2009-03-27,54,1267,1,3
2009-03-28,51,1269,1,25
2009-03-29,47,1272,1,55
2009-03-30,47,1275,0,9
2009-03-31,49,1277,0,0
2009-04-01,46,1280,1,39
2009-04-02,54,1283,1,36
2009-04-03,54,1286,1,52
2009-04-04,50,1289,0,22
2009-04-05,55,1292,0,4
2009-04-06,50,1294,1,42
2009-04-07,44,1297,0,22
2009-04-08,42,1299,0,12
2009-04-09,52,1302,0,0
2009-04-10,52,1305,1,17
2009-04-11,46,1307,1,32
2009-04-12,42,1310,0,0
2009-04-13,46,1312,0,1
2009-04-14,47,1315,1,31
2009-04-15,50,1317,1,17
2009-04-16,54,1320,0,0
2009-04-17,56,1323,0,0
2009-04-18,66,1325,0,4
2009-04-19,55,1328,0,3
2009-04-20,46,1330,1,39
2009-04-21,54,1333,1,43
2009-04-22,52,1335,1,12
2009-04-23,50,1338,0,5
2009-04-24,60,1341,0,0
2009-04-25,70,1343,0,0
2009-04-26,80,1346,0,0
2009-04-27,71,1348,0,0
2009-04-28,80,1390,0,4
2009-04-29,59,1393,1,5
2009-04-30,54,1395,1,17
2009-05-01,62,1397,1,41
2009-05-02,61,1400,1,11
2009-05-03,56,1402,1,63
2009-05-04,54,1404,1,72
2009-05-05,52,1406,1,70
2009-05-06,57,1408,1,40
2009-05-07,60,1411,1,42
2009-05-08,65,1413,0,5
2009-05-09,67,1455,1,25
2009-05-10,62,1457,0,1
2009-05-11,58,1459,0,2
2009-05-12,60,1461,0,8
2009-05-13,58,1463,0,0
2009-05-14,62,1465,1,18
