date,avg_temp,daylight_hours,bad_weather,hours_overcast,noise_complaints,other_complaints,total
2010-01-01,36,919,1,43,691,2215,2906
2010-01-02,26,920,1,19,456,3401,3857
2010-01-03,20,921,1,19,290,5319,5609
2010-01-04,24,922,0,1,295,9020,9315
2010-01-05,25,923,0,9,322,7977,8299
2010-01-06,30,924,1,11,331,6613,6944
2010-01-07,34,924,0,8,348,6508,6856
2010-01-08,28,925,1,36,468,5561,6029
2010-01-09,24,926,0,0,541,3408,3949
2010-01-10,21,927,0,0,481,3982,4463
2010-01-11,26,929,0,5,352,7348,7700
2010-01-12,30,931,0,9,273,6730,7003
2010-01-13,30,932,0,7,404,6506,6910
2010-01-14,36,933,0,0,253,5625,5878
2010-01-15,42,935,0,11,539,5346,5885
2010-01-16,44,936,0,8,684,2503,3187
2010-01-17,40,938,1,27,633,2345,2978
2010-01-18,44,939,1,25,419,3663,4082
2010-01-19,44,941,0,18,381,5755,6136
2010-01-20,38,943,0,1,419,5573,5992
2010-01-21,36,985,0,0,425,6072,6497
2010-01-22,38,986,0,0,510,5444,5954
2010-01-23,34,988,0,0,736,2661,3397
2010-01-24,41,990,1,34,604,2286,2890
2010-01-25,53,993,1,46,377,7676,8053
2010-01-26,42,994,1,14,448,6289,6737
2010-01-27,35,996,0,3,398,6190,6588
2010-01-28,31,998,1,21,395,6461,6856
2010-01-29,20,1001,0,0,432,8064,8496
2010-01-30,16,1003,0,10,748,5764,6512
2010-01-31,22,1005,0,1,608,4065,4673
2010-02-01,30,1007,0,0,389,7506,7895
2010-02-02,30,1009,1,13,385,6635,7020
2010-02-03,34,1012,1,30,361,5957,6318
2010-02-04,32,1014,0,0,406,5637,6043
2010-02-05,32,1016,0,5,502,5355,5857
2010-02-06,26,1018,1,26,633,3061,3694
2010-02-07,26,1021,0,0,657,3021,3678
2010-02-08,30,1063,0,0,406,6696,7102
2010-02-09,35,1065,1,12,359,6015,6374
2010-02-10,32,1067,1,41,313,3890,4203
2010-02-11,32,1071,0,0,214,6007,6221
2010-02-12,32,1073,0,0,482,6754,7236
2010-02-13,28,1075,0,5,587,3733,4320
2010-02-14,34,1077,0,10,607,2585,3192
2010-02-15,34,1080,1,18,541,3712,4253
2010-02-16,31,1083,1,46,434,5704,6138
2010-02-17,30,1085,0,14,467,7072,7539
2010-02-18,36,1088,0,15,461,6351,6812
2010-02-19,39,1090,0,19,487,5847,6334
2010-02-20,40,1092,0,1,804,2962,3766
2010-02-21,40,1096,0,0,728,2518,3246
2010-02-22,37,1098,1,11,363,6497,6860
2010-02-23,36,1101,1,47,372,6544,6916
2010-02-24,39,1103,1,52,348,6877,7225
2010-02-25,32,1106,1,47,331,6073,6404
2010-02-26,30,1108,1,45,389,4365,4754
2010-02-27,34,1112,1,20,637,3794,4431
2010-02-28,36,1114,0,15,682,3537,4219
2010-03-01,42,1117,0,1,340,7233,7573
2010-03-02,42,1119,1,11,392,6681,7073
2010-03-03,38,1122,1,34,395,7038,7433
2010-03-04,41,1124,0,19,357,6517,6874
2010-03-05,42,1127,1,15,439,5802,6241
2010-03-06,43,1130,0,0,779,2957,3736
2010-03-07,47,1133,0,0,635,2617,3252
2010-03-08,51,1136,0,0,386,6230,6616
2010-03-09,52,1138,0,0,410,6288,6698
2010-03-10,50,1141,0,8,411,6129,6540
2010-03-11,48,1143,0,23,416,6012,6428
2010-03-12,41,1146,1,35,424,5659,6083
2010-03-13,42,1189,1,51,384,5077,5461
2010-03-14,46,1191,1,34,358,5902,6260
2010-03-15,44,1194,1,31,374,9609,9983
2010-03-16,52,1197,0,8,402,7252,7654
2010-03-17,54,1200,0,0,467,6596,7063
2010-03-18,60,1203,0,0,511,6219,6730
2010-03-19,60,1206,0,0,620,6169,6789
2010-03-20,64,1208,0,0,981,2871,3852
2010-03-21,58,1251,0,4,820,2630,3450
2010-03-22,54,1254,1,58,425,6425,6850
2010-03-23,49,1256,1,47,419,6797,7216
2010-03-24,52,1259,0,3,373,6324,6697
2010-03-25,55,1262,1,6,481,5879,6360
2010-03-26,43,1264,1,16,450,6022,6472
2010-03-27,36,1267,0,0,695,3341,4036
2010-03-28,42,1269,1,26,578,2863,3441
2010-03-29,50,1272,1,61,390,6788,7178
2010-03-30,46,1275,1,62,372,9271,9643
2010-03-31,51,1277,1,31,532,6585,7117
2010-04-01,59,1280,0,6,531,5615,6146
2010-04-02,58,1283,0,0,698,4289,4987
2010-04-03,57,1286,1,2,790,2337,3127
2010-04-04,62,1289,1,5,869,1864,2733
2010-04-05,66,1292,0,0,659,5872,6531
2010-04-06,68,1294,0,3,578,6140,6718
2010-04-07,74,1297,1,0,542,5883,6425
2010-04-08,72,1299,0,0,557,5867,6424
2010-04-09,56,1302,1,32,542,5913,6455
2010-04-10,52,1305,0,7,896,2758,3654
2010-04-11,64,1307,0,8,918,2027,2945
2010-04-12,60,1310,0,0,561,6117,6678
2010-04-13,52,1312,0,10,353,5789,6142
2010-04-14,56,1315,0,0,614,5576,6190
2010-04-15,62,1317,0,6,529,5794,6323
2010-04-16,52,1320,1,30,500,5461,5961
2010-04-17,50,1323,1,38,778,2582,3360
2010-04-18,50,1325,0,9,812,2246,3058
2010-04-19,54,1328,0,3,483,6295,6778
2010-04-20,58,1330,0,0,396,5535,5931
2010-04-21,61,1333,1,4,549,5629,6178
2010-04-22,62,1335,1,4,517,5125,5642
2010-04-23,56,1338,0,0,630,4858,5488
2010-04-24,57,1341,0,4,970,2445,3415
2010-04-25,49,1343,1,57,663,2214,2877
2010-04-26,50,1346,1,40,417,6148,6565
2010-04-27,50,1348,1,28,447,5744,6191
2010-04-28,48,1390,0,7,436,6376,6812
2010-04-29,57,1393,0,0,537,5412,5949
2010-04-30,67,1395,0,1,730,4592,5322
2010-05-01,74,1397,0,0,1010,2227,3237
2010-05-02,77,1400,0,1,926,2273,3199
2010-05-03,74,1402,1,28,466,6916,7382
2010-05-04,72,1404,0,2,589,5570,6159
2010-05-05,69,1406,0,0,602,5658,6260
2010-05-06,68,1408,0,0,604,5499,6103
2010-05-07,62,1411,0,0,661,4780,5441
2010-05-08,62,1413,1,3,768,3115,3883
2010-05-09,48,1455,0,10,618,2933,3551
2010-05-10,51,1457,0,0,434,6960,7394
2010-05-11,50,1459,1,6,499,6233,6732
2010-05-12,46,1461,1,46,403,5959,6362
2010-05-13,55,1463,0,3,502,5010,5512
2010-05-14,68,1465,1,12,596,4984,5580
2010-05-15,66,1467,0,0,972,2200,3172
2010-05-16,63,1469,0,1,988,1933,2921
2010-05-17,64,1471,0,1,646,5871,6517
2010-05-18,56,1473,1,44,422,5167,5589
2010-05-19,57,1475,1,35,524,5562,6086
2010-05-20,67,1477,0,5,710,4902,5612
2010-05-21,73,1478,0,0,726,4793,5519
2010-05-22,66,1480,0,7,1159,2436,3595
2010-05-23,64,1482,1,25,980,1926,2906
2010-05-24,66,1483,1,25,604,5289,5893
2010-05-25,72,1484,1,0,585,5159,5744
2010-05-26,78,1486,0,0,592,5312,5904
2010-05-27,69,1488,1,20,533,5795,6328
2010-05-28,63,1489,0,10,642,4430,5072
2010-05-29,69,1491,0,13,1066,1961,3027
2010-05-30,76,1491,0,0,1076,1544,2620
2010-05-31,78,1493,1,0,1064,2040,3104
2010-06-01,76,1494,1,5,475,5446,5921
2010-06-02,77,1496,0,1,399,5534,5933
2010-06-03,77,1496,1,1,373,5253,5626
2010-06-04,80,1497,0,1,525,4973,5498
2010-06-05,82,1499,0,2,767,2403,3170
2010-06-06,75,1499,1,1,719,2331,3050
2010-06-07,66,1500,0,1,533,5924,6457
2010-06-08,66,1500,0,3,584,5213,5797
2010-06-09,62,1502,1,34,353,4681,5034
2010-06-10,66,1503,1,33,610,5073,5683
2010-06-11,64,1503,0,1,574,4370,4944
2010-06-12,70,1504,1,6,1005,1990,2995
2010-06-13,72,1504,1,37,873,1770,2643
2010-06-14,72,1504,1,34,535,5921,6456
2010-06-15,72,1505,0,0,627,5798,6425
2010-06-16,70,1505,0,15,534,5485,6019
