date,avg_temp,daylight_hours,bad_weather,hours_overcast,gloomy_today,gloomy_past_two_days,gloomy_past_three_days,noise_complaints,other_complaints,total,day_of_week
2010-01-01,36,9,1,24,1,1,0,691,2215,2906,Fri
2010-01-02,26,9,1,17,1,1,1,456,3401,3857,Sat
2010-01-03,20,9,1,13,1,1,1,290,5319,5609,Sun
2010-01-04,24,9,,1,0,0,0,295,9020,9315,Mon
2010-01-05,25,9,,9,0,0,0,322,7977,8299,Tue
2010-01-06,30,9,1,11,1,0,0,331,6613,6944,Wed
2010-01-07,34,9,,7,0,0,0,348,6508,6856,Thu
2010-01-08,28,9,1,17,1,0,0,468,5561,6029,Fri
2010-01-09,24,9,,0,0,0,0,541,3408,3949,Sat
2010-01-10,21,9,,0,0,0,0,481,3982,4463,Sun
2010-01-11,26,9,,5,0,0,0,352,7348,7700,Mon
2010-01-12,30,10,,9,0,0,0,273,6730,7003,Tue
2010-01-13,30,10,,7,0,0,0,404,6506,6910,Wed
2010-01-14,36,10,,0,0,0,0,253,5625,5878,Thu
2010-01-15,42,10,,11,1,0,0,539,5346,5885,Fri
2010-01-16,44,10,,8,0,0,0,684,2503,3187,Sat
2010-01-17,40,10,1,12,1,0,0,633,2345,2978,Sun
2010-01-18,44,10,1,16,1,1,0,419,3663,4082,Mon
2010-01-19,44,10,,17,1,1,1,381,5755,6136,Tue
2010-01-20,38,10,,1,0,0,0,419,5573,5992,Wed
2010-01-21,36,10,,0,0,0,0,425,6072,6497,Thu
2010-01-22,38,10,,0,0,0,0,510,5444,5954,Fri
2010-01-23,34,10,,0,0,0,0,736,2661,3397,Sat
2010-01-24,41,10,1,19,1,0,0,604,2286,2890,Sun
2010-01-25,53,10,1,19,1,1,0,377,7676,8053,Mon
2010-01-26,42,10,1,12,1,1,1,448,6289,6737,Tue
2010-01-27,35,10,,3,0,0,0,398,6190,6588,Wed
2010-01-28,31,10,1,11,1,0,0,395,6461,6856,Thu
2010-01-29,20,10,,0,0,0,0,432,8064,8496,Fri
2010-01-30,16,10,,10,1,0,0,748,5764,6512,Sat
2010-01-31,22,10,,1,0,0,0,608,4065,4673,Sun
2010-02-01,30,10,,0,0,0,0,389,7506,7895,Mon
2010-02-02,30,10,1,9,0,0,0,385,6635,7020,Tue
2010-02-03,34,10,1,14,1,0,0,361,5957,6318,Wed
2010-02-04,32,10,,0,0,0,0,406,5637,6043,Thu
2010-02-05,32,10,,5,0,0,0,502,5355,5857,Fri
2010-02-06,26,10,1,13,1,0,0,633,3061,3694,Sat
2010-02-07,26,10,,0,0,0,0,657,3021,3678,Sun
2010-02-08,30,10,,0,0,0,0,406,6696,7102,Mon
2010-02-09,35,10,1,8,0,0,0,359,6015,6374,Tue
2010-02-10,32,10,1,18,1,0,0,313,3890,4203,Wed
2010-02-11,32,11,,0,0,0,0,214,6007,6221,Thu
2010-02-12,32,11,,0,0,0,0,482,6754,7236,Fri
2010-02-13,28,11,,5,0,0,0,587,3733,4320,Sat
2010-02-14,34,11,,10,1,0,0,607,2585,3192,Sun
2010-02-15,34,11,1,7,0,0,0,541,3712,4253,Mon
2010-02-16,31,11,1,20,1,0,0,434,5704,6138,Tue
2010-02-17,30,11,,14,1,1,0,467,7072,7539,Wed
2010-02-18,36,11,,15,1,1,1,461,6351,6812,Thu
2010-02-19,39,11,,19,1,1,1,487,5847,6334,Fri
2010-02-20,40,11,,1,0,0,0,804,2962,3766,Sat
2010-02-21,40,11,,0,0,0,0,728,2518,3246,Sun
2010-02-22,37,11,1,10,1,0,0,363,6497,6860,Mon
2010-02-23,36,11,1,24,1,1,0,372,6544,6916,Tue
2010-02-24,39,11,1,24,1,1,1,348,6877,7225,Wed
2010-02-25,32,11,1,24,1,1,1,331,6073,6404,Thu
2010-02-26,30,11,1,16,1,1,1,389,4365,4754,Fri
2010-02-27,34,11,1,16,1,1,1,637,3794,4431,Sat
2010-02-28,36,11,,13,1,1,1,682,3537,4219,Sun
2010-03-01,42,11,,1,0,0,0,340,7233,7573,Mon
2010-03-02,42,11,1,9,0,0,0,392,6681,7073,Tue
2010-03-03,38,11,1,24,1,0,0,395,7038,7433,Wed
2010-03-04,41,11,,19,1,1,0,357,6517,6874,Thu
2010-03-05,42,11,1,15,1,1,1,439,5802,6241,Fri
2010-03-06,43,12,,0,0,0,0,779,2957,3736,Sat
2010-03-07,47,12,,0,0,0,0,635,2617,3252,Sun
2010-03-08,51,12,,0,0,0,0,386,6230,6616,Mon
2010-03-09,52,12,,0,0,0,0,410,6288,6698,Tue
2010-03-10,50,12,,8,0,0,0,411,6129,6540,Wed
2010-03-11,48,12,,20,1,0,0,416,6012,6428,Thu
2010-03-12,41,12,1,24,1,1,0,424,5659,6083,Fri
2010-03-13,42,12,1,24,1,1,1,384,5077,5461,Sat
2010-03-14,46,12,1,24,1,1,1,358,5902,6260,Sun
2010-03-15,44,12,1,24,1,1,1,374,9609,9983,Mon
2010-03-16,52,12,,7,0,0,0,402,7252,7654,Tue
2010-03-17,54,12,,0,0,0,0,467,6596,7063,Wed
2010-03-18,60,12,,0,0,0,0,511,6219,6730,Thu
2010-03-19,60,12,,0,0,0,0,620,6169,6789,Fri
2010-03-20,64,12,,0,0,0,0,981,2871,3852,Sat
2010-03-21,58,12,,4,0,0,0,820,2630,3450,Sun
2010-03-22,54,12,1,18,1,0,0,425,6425,6850,Mon
2010-03-23,49,12,1,23,1,1,0,419,6797,7216,Tue
