date,noise_complaints,other_complaints,total
2010-01-01,691,2215,2906
2010-01-02,456,3401,3857
2010-01-03,290,5319,5609
2010-01-04,295,9020,9315
2010-01-05,322,7977,8299
2010-01-06,331,6613,6944
2010-01-07,348,6508,6856
2010-01-08,468,5561,6029
2010-01-09,541,3408,3949
2010-01-10,481,3982,4463
2010-01-11,352,7348,7700
2010-01-12,273,6730,7003
2010-01-13,404,6506,6910
2010-01-14,253,5625,5878
2010-01-15,539,5346,5885
2010-01-16,684,2503,3187
2010-01-17,633,2345,2978
2010-01-18,419,3663,4082
2010-01-19,381,5755,6136
2010-01-20,419,5573,5992
2010-01-21,425,6072,6497
2010-01-22,510,5444,5954
2010-01-23,736,2661,3397
2010-01-24,604,2286,2890
2010-01-25,377,7676,8053
2010-01-26,448,6289,6737
2010-01-27,398,6190,6588
2010-01-28,395,6461,6856
2010-01-29,432,8064,8496
2010-01-30,748,5764,6512
2010-01-31,608,4065,4673
2010-02-01,389,7506,7895
2010-02-02,385,6635,7020
2010-02-03,361,5957,6318
2010-02-04,406,5637,6043
2010-02-05,502,5355,5857
2010-02-06,633,3061,3694
2010-02-07,657,3021,3678
2010-02-08,406,6696,7102
2010-02-09,359,6015,6374
2010-02-10,313,3890,4203
2010-02-11,214,6007,6221
2010-02-12,482,6754,7236
2010-02-13,587,3733,4320
2010-02-14,607,2585,3192
2010-02-15,541,3712,4253
2010-02-16,434,5704,6138
2010-02-17,467,7072,7539
2010-02-18,461,6351,6812
2010-02-19,487,5847,6334
2010-02-20,804,2962,3766
2010-02-21,728,2518,3246
2010-02-22,363,6497,6860
2010-02-23,372,6544,6916
2010-02-24,348,6877,7225
2010-02-25,331,6073,6404
2010-02-26,389,4365,4754
2010-02-27,637,3794,4431
2010-02-28,682,3537,4219
2010-03-01,340,7233,7573
2010-03-02,392,6681,7073
2010-03-03,395,7038,7433
2010-03-04,357,6517,6874
2010-03-05,439,5802,6241
2010-03-06,779,2957,3736
2010-03-07,635,2617,3252
2010-03-08,386,6230,6616
2010-03-09,410,6288,6698
2010-03-10,411,6129,6540
2010-03-11,416,6012,6428
2010-03-12,424,5659,6083
2010-03-13,384,5077,5461
2010-03-14,358,5902,6260
2010-03-15,374,9609,9983
2010-03-16,402,7252,7654
2010-03-17,467,6596,7063
2010-03-18,511,6219,6730
2010-03-19,620,6169,6789
2010-03-20,981,2871,3852
2010-03-21,820,2630,3450
2010-03-22,425,6425,6850
2010-03-23,419,6797,7216
2010-03-24,373,6324,6697
2010-03-25,481,5879,6360
2010-03-26,450,6022,6472
2010-03-27,695,3341,4036
2010-03-28,578,2863,3441
2010-03-29,390,6788,7178
2010-03-30,372,9271,9643
2010-03-31,532,6585,7117
2010-04-01,531,5615,6146
2010-04-02,698,4289,4987
2010-04-03,790,2337,3127
2010-04-04,869,1864,2733
